--------------
Thu Apr 25 22:16:20 2024 TW Stock List
--------------
2347.TW, Close: 77.10, RSI(talib): 61.65
2603.TW, Close: 181.00, RSI(talib): 60.63
2317.TW, Close: 151.50, RSI(talib): 65.20
2637.TW, Close: 67.10, RSI(talib): 62.25
--------------
1455.TW failed ('NoneType' object has no attribute 'text').
1612.TW failed ('NoneType' object has no attribute 'text').
4155.TW failed ('NoneType' object has no attribute 'text').
4572.TW failed ('NoneType' object has no attribute 'text').
1442.TW failed ('NoneType' object has no attribute 'text').
3033.TW failed ('NoneType' object has no attribute 'text').
2402.TW failed ('NoneType' object has no attribute 'text').
1467.TW failed ('NoneType' object has no attribute 'text').
9942.TW failed ('NoneType' object has no attribute 'text').
2413.TW failed ('NoneType' object has no attribute 'text').
2468.TW failed ('NoneType' object has no attribute 'text').
8016.TW failed ('NoneType' object has no attribute 'text').
1342.TW failed ('NoneType' object has no attribute 'text').
6789.TW failed ('NoneType' object has no attribute 'text').
4142.TW failed ('NoneType' object has no attribute 'text').
3030.TW failed ('NoneType' object has no attribute 'text').
6768.TW failed ('NoneType' object has no attribute 'text').
2358.TW failed (index 0 is out of bounds for axis 0 with size 0).
3312.TW failed ('NoneType' object has no attribute 'text').
5284.TW failed ('NoneType' object has no attribute 'text').
5607.TW failed ('NoneType' object has no attribute 'text').
3413.TW failed ('NoneType' object has no attribute 'text').
2495.TW failed ('NoneType' object has no attribute 'text').
6416.TW failed ('NoneType' object has no attribute 'text').
2364.TW failed ('NoneType' object has no attribute 'text').
2355.TW failed ('NoneType' object has no attribute 'text').
3419.TW failed ('NoneType' object has no attribute 'text').
8210.TW failed ('NoneType' object has no attribute 'text').
2009.TW failed ('NoneType' object has no attribute 'text').
4137.TW failed ('NoneType' object has no attribute 'text').
1810.TW failed ('NoneType' object has no attribute 'text').
4164.TW failed ('NoneType' object has no attribute 'text').
1417.TW failed ('NoneType' object has no attribute 'text').
3010.TW failed ('NoneType' object has no attribute 'text').
6409.TW failed ('NoneType' object has no attribute 'text').
6782.TW failed ('NoneType' object has no attribute 'text').
2451.TW failed ('NoneType' object has no attribute 'text').
9917.TW failed ('NoneType' object has no attribute 'text').
1707.TW failed ('NoneType' object has no attribute 'text').
2380.TW failed ('NoneType' object has no attribute 'text').
6139.TW failed ('NoneType' object has no attribute 'text').
4916.TW failed ('NoneType' object has no attribute 'text').
2444.TW failed ('NoneType' object has no attribute 'text').
1305.TW failed ('NoneType' object has no attribute 'text').
1752.TW failed ('NoneType' object has no attribute 'text').
2464.TW failed ('NoneType' object has no attribute 'text').
2929.TW failed ('NoneType' object has no attribute 'text').
1720.TW failed ('NoneType' object has no attribute 'text').
9938.TW failed ('NoneType' object has no attribute 'text').
1618.TW failed ('NoneType' object has no attribute 'text').
2903.TW failed ('NoneType' object has no attribute 'text').
2038.TW failed ('NoneType' object has no attribute 'text').
2028.TW failed ('NoneType' object has no attribute 'text').
1409.TW failed ('NoneType' object has no attribute 'text').
2851.TW failed ('NoneType' object has no attribute 'text').
2539.TW failed ('NoneType' object has no attribute 'text').
6715.TW failed ('NoneType' object has no attribute 'text').
9103.TW failed ('NoneType' object has no attribute 'text').
1512.TW failed ('NoneType' object has no attribute 'text').
1325.TW failed ('NoneType' object has no attribute 'text').
5471.TW failed ('NoneType' object has no attribute 'text').
2007.TW failed ('NoneType' object has no attribute 'text').
2033.TW failed ('NoneType' object has no attribute 'text').
1783.TW failed ('NoneType' object has no attribute 'text').
3705.TW failed ('NoneType' object has no attribute 'text').
1309.TW failed ('NoneType' object has no attribute 'text').
3051.TW failed ('NoneType' object has no attribute 'text').
6142.TW failed ('NoneType' object has no attribute 'text').
1809.TW failed ('NoneType' object has no attribute 'text').
1503.TW failed ('NoneType' object has no attribute 'text').
2462.TW failed ('NoneType' object has no attribute 'text').
2022.TW failed ('NoneType' object has no attribute 'text').
2472.TW failed ('NoneType' object has no attribute 'text').
6691.TW failed ('NoneType' object has no attribute 'text').
6168.TW failed ('NoneType' object has no attribute 'text').
2393.TW failed ('NoneType' object has no attribute 'text').
3094.TW failed ('NoneType' object has no attribute 'text').
2739.TW failed ('NoneType' object has no attribute 'text').
6799.TW failed ('NoneType' object has no attribute 'text').
1215.TW failed ('NoneType' object has no attribute 'text').
4976.TW failed ('NoneType' object has no attribute 'text').
2471.TW failed ('NoneType' object has no attribute 'text').
8110.TW failed ('NoneType' object has no attribute 'text').
2453.TW failed ('NoneType' object has no attribute 'text').
2427.TW failed ('NoneType' object has no attribute 'text').
1229.TW failed ('NoneType' object has no attribute 'text').
6243.TW failed ('NoneType' object has no attribute 'text').
2399.TW failed ('NoneType' object has no attribute 'text').
3056.TW failed ('NoneType' object has no attribute 'text').
2243.TW failed ('NoneType' object has no attribute 'text').
4119.TW failed ('NoneType' object has no attribute 'text').
2645.TW failed ('NoneType' object has no attribute 'text').
6756.TW failed ('NoneType' object has no attribute 'text').
2207.TW failed ('NoneType' object has no attribute 'text').
3652.TW failed ('NoneType' object has no attribute 'text').
5203.TW failed ('NoneType' object has no attribute 'text').
3338.TW failed ('NoneType' object has no attribute 'text').
5521.TW failed ('NoneType' object has no attribute 'text').
3715.TW failed ('NoneType' object has no attribute 'text').
5434.TW failed ('NoneType' object has no attribute 'text').
6753.TW failed ('NoneType' object has no attribute 'text').
6830.TW failed ('NoneType' object has no attribute 'text').
6177.TW failed ('NoneType' object has no attribute 'text').
6112.TW failed ('NoneType' object has no attribute 'text').
6209.TW failed ('NoneType' object has no attribute 'text').
3032.TW failed ('NoneType' object has no attribute 'text').
5469.TW failed ('NoneType' object has no attribute 'text').
1108.TW failed ('NoneType' object has no attribute 'text').
1535.TW failed ('NoneType' object has no attribute 'text').
3376.TW failed ('NoneType' object has no attribute 'text').
3617.TW failed ('NoneType' object has no attribute 'text').
2547.TW failed ('NoneType' object has no attribute 'text').
